page_size,mem_size,alg,file,page_faults,dirty_pages,elapsed_time
32,8192,LRU,matriz.log,4013,1500,0.336136
32,16384,LRU,matriz.log,2461,919,0.335585
64,128,LRU,matriz.log,458585,59417,0.152938
64,256,LRU,matriz.log,350270,56339,0.155406
64,512,LRU,matriz.log,271380,53923,0.160257
64,1024,LRU,matriz.log,137751,33692,0.165507
64,2048,LRU,matriz.log,40262,9338,0.177037
64,4096,LRU,matriz.log,14861,4231,0.217204
64,8192,LRU,matriz.log,6848,2416,0.281292
64,16384,LRU,matriz.log,3175,1198,0.317912
2,128,2a,matriz.log,32862,7634,0.220156
2,256,2a,matriz.log,20257,5234,0.247478
2,512,2a,matriz.log,10235,3060,0.355138
2,1024,2a,matriz.log,6197,1962,0.380670
2,2048,2a,matriz.log,4195,1378,0.513396
2,4096,2a,matriz.log,3406,701,0.749435
2,8192,2a,matriz.log,2994,0,1.033187
2,16384,2a,matriz.log,2994,0,1.038302
4,128,2a,matriz.log,60827,13728,0.174698
4,256,2a,matriz.log,27185,6754,0.209621
4,512,2a,matriz.log,16687,4599,0.247641
4,1024,2a,matriz.log,8060,2579,0.361681
4,2048,2a,matriz.log,4890,1621,0.349865
4,4096,2a,matriz.log,3390,1054,0.497594
4,8192,2a,matriz.log,2799,375,0.672805
4,16384,2a,matriz.log,2543,0,0.897937
8,128,2a,matriz.log,152610,37588,0.157760
8,256,2a,matriz.log,56855,12861,0.175132
8,512,2a,matriz.log,23836,6135,0.211017
8,1024,2a,matriz.log,14212,4123,0.260701
8,2048,2a,matriz.log,6215,2046,0.279997
8,4096,2a,matriz.log,3979,1414,0.357912
8,8192,2a,matriz.log,2833,852,0.473162
8,16384,2a,matriz.log,2314,152,0.720963
16,128,2a,matriz.log,270518,52725,0.149234
16,256,2a,matriz.log,147950,37126,0.157263
16,512,2a,matriz.log,51215,12007,0.174561
16,1024,2a,matriz.log,20105,5404,0.187207
16,2048,2a,matriz.log,10723,3324,0.240498
16,4096,2a,matriz.log,4856,1703,0.270203
16,8192,2a,matriz.log,3092,1118,0.346197
16,16384,2a,matriz.log,2316,664,0.480063
32,128,2a,matriz.log,333553,54799,0.145799
32,256,2a,matriz.log,261379,52370,0.149400
32,512,2a,matriz.log,135668,34609,0.157265
32,1024,2a,matriz.log,41747,9615,0.172769
32,2048,2a,matriz.log,16879,4660,0.194963
32,4096,2a,matriz.log,8379,2692,0.262715
32,8192,2a,matriz.log,3971,1401,0.275953
32,16384,2a,matriz.log,2531,882,0.333525
64,128,2a,matriz.log,350017,59092,0.146591
64,256,2a,matriz.log,286319,54286,0.145166
64,512,2a,matriz.log,219612,51260,0.149335
64,1024,2a,matriz.log,101175,27099,0.154889
64,2048,2a,matriz.log,27815,6032,0.170657
64,4096,2a,matriz.log,13008,3716,0.196011
